Place		Full Place Search	Yahoo LatLong	Google LatLong	Verified LatLong		Image URL						
Harlay, cour de	, Paris, France	Harlay, cour de, Paris, France						 	11	 	 	 	11
Harlay, rue de	, Paris, France	Harlay, rue de, Paris, France						 	11	 	 	 	11
Harpe, rue de Ia	, Paris, France	Harpe, rue de Ia, Paris, France						 	6,12	 	 	 	6,12
Hasard, rue du	, Paris, France	Hasard, rue du, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	8, 12	 	 	 	8, 12
Haumerie, rue de la	, Paris, France	Haumerie, rue de la, Paris, France						 	4	 	 	 	4
Hauteville, rue de	, Paris, France	Hauteville, rue de, Paris, France	45.315758, 7.039426		45.315758, 7.039426			 	9	 	 	 	9
Helder, rue du	, Paris, France	Helder, rue du, Paris, France						 	9, 12	 	 	 	9, 12
Henri IV, College	, Paris, France	Henri IV, College, Paris, France						 	3	 	 	 	3
Herbault	, Paris, France	Herbault, Paris, France	48.852065, 2.365645		48.852065, 2.365645			 	12	 	 	 	12
Herold, rue	, Paris, France	Herold, rue, Paris, France						 	4	 	 	 	4
Hillerin-Bertin, rue (Bellechasse)	, Paris, France	Hillerin-Bertin, rue (Bellechasse), Paris, France						 	10	 	 	 	10
Hirondelle, rue de l'	, Paris, France	Hirondelle, rue de l', Paris, France						 	6	 	 	 	6
Historique, Theatre	, Paris, France	Historique, Theatre, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	13	 	 	 	13
Homine Armé, rue de l'	, Paris, France	Homine Armé, rue de l', Paris, France						 	4, 7	 	 	 	4, 7
Honoré-Chevalier, rue	, Paris, France	Honoré-Chevalier, rue, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	6	 	 	 	6
Hopitai, boulevard'de l'	, Paris, France	Hopitai, boulevard'de l', Paris, France	48.845964, 2.400937		48.845964, 2.400937			 	12	 	 	 	12
Horloge, Pavilion de I’. (Tuileries)	, Paris, France	Horloge, Pavilion de I’. (Tuileries), Paris, France	48.849415, 2.33221		48.849415, 2.33221			 	8	 	 	 	8
Horloge, quai de l'	, Paris, France	Horloge, quai de l', Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	11	 	 	 	11
Horloge, tour de l'	, Paris, France	Horloge, tour de l', Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	4	 	 	 	4
Horloge, Tour de l'	, Paris, France	Horloge, Tour de l', Paris, France	48.856625, 2.344993		48.856625, 2.344993			 	11	 	 	 	11
Horloge, tour de l’, (Louvre)	, Paris, France	Horloge, tour de l’, (Louvre), Paris, France	48.856625, 2.344993		48.856625, 2.344993			 	8	 	 	 	8
Hotel-Dieu	, Paris, France	Hotel-Dieu, Paris, France	48.856625, 2.344993		48.856625, 2.344993			 	11	 	 	 	11
Hotel-de-Ville, place de l'	, Paris, France	Hotel-de-Ville, place de l', Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	4	 	 	 	4
Houbigant	, Paris, France	Houbigant, Paris, France						 	12	 	 	 	12
Houssay, rue du	, Paris, France	Houssay, rue du, Paris, France						 	9	 	 	 	9
Houssaye, rue du	, Paris, France	Houssaye, rue du, Paris, France						 	9	 	 	 	9
Huchette, rue de la	, Paris, France	Huchette, rue de la, Paris, France						 	6, 11	 	 	 	6, 11
Hurbain	, Paris, France	Hurbain, Paris, France	45.315758, 7.039426		45.315758, 7.039426			 	 12, 14	 	 	 	 12, 14
Iena, pont d'	, Paris, France	Iena, pont d', Paris, France						 	1	 	 	 	1
Ile d'Amour, (Beilevile)	, Paris, France	Ile d'Amour, (Beilevile), Paris, France						 	2	 	 	 	2
Imperial, Lycée	, Paris, France	Imperial, Lycée, Paris, France						 	6	 	 	 	6
Imperiale, Imprimerie	, Paris, France	Imperiale, Imprimerie, Paris, France						 	8	 	 	 	8
Innocents, Marche des	, Paris, France	Innocents, Marche des, Paris, France						 	4	 	 	 	4
Institut	, Paris, France	Institut, Paris, France	48.857657, 2.336742		48.857657, 2.336742			 	6	 	 	 	6
Institut, quarter	, Paris, France	Institut, quarter, Paris, France						 	6	 	 	 	6
Interieur, Ministere de l'	, Paris, France	Interieur, Ministere de l', Paris, France						 	10	 	 	 	10
Invalides	, Paris, France	Invalides, Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	10	 	 	 	10
Invalides, boulevard'des	, Paris, France	Invalides, boulevard'des, Paris, France	48.85817, 2.31721		48.85817, 2.31721			 	12	 	 	 	12
Invalides, Esplanaile des	, Paris, France	Invalides, Esplanaile des, Paris, France						 	10	 	 	 	10
Invalides, Pont des	, Paris, France	Invalides, Pont des, Paris, France						 	11	 	 	 	11
Invalides, quai des	, Paris, France	Invalides, quai des, Paris, France						 	10	 	 	 	10
Italie, barrière de l'	, Paris, France	Italie, barrière de l', Paris, France						 	3	 	 	 	3
Italien, boulevard	, Paris, France	Italien, boulevard, Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	7	 	 	 	7
Italiens	, Paris, France	Italiens, Paris, France						 	13	 	 	 	13
Louis-XV, terrace of the place	, Paris, France	Louis-XV, terrace of the place, Paris, France	48.87173, 2.338615		48.87173, 2.338615			 	8	29	 	 	8
Louis-XVI, place	, Paris, France	Louis-XVI, place, Paris, France						 	8	 	 	 	8
Louis-XVI, Pont	, Paris, France	Louis-XVI, Pont, Paris, France	48.874045, 2.322625		48.874045, 2.322625			 	11	 	 	 	11
Louis-Philippe, Pont	, Paris, France	Louis-Philippe, Pont, Paris, France	48.874045, 2.322625		48.874045, 2.322625			 	11	 	 	 	11
Louviers, lie	, Paris, France	Louviers, lie, Paris, France	48.85605, 2.356475		48.85605, 2.356475			 	11	 	 	 	11
Louvois, palace	, Paris, France	Louvois, palace, Paris, France						 	8	 	 	 	8
Louvois, rue	, Paris, France	Louvois, rue, Paris, France			48° 52_ 06_ N 2° 20_ 14_ E 	http://fr.wikipedia.org/wiki/Rue_de_Louvois		 	9	 	Vivienne	 	9
Louvois, theatre de la, rue	, Paris, France	Louvois, theatre de la, rue, Paris, France	48.868325, 2.33689		48.868325, 2.33689			 	13	 	 	 	13
Louvois, theatre	, Paris, France	Louvois, theatre, Paris, France	49.96593, 3.970635		49.96593, 3.970635	http://www.openstreetmap.org/?lat=48.868265&lon=2.337481&zoom=18&layers=M		6, rue de Louvois	13	 	 	 	13
Louvre	, Paris, France	Louvre, Paris, France	48.8592, 2.33786		48.8592, 2.33786	http://www.openstreetmap.org/?lat=48.86148&lon=2.33517&zoom=16&layers=M		 	 4, 8	 	 	 	 4, 8
Lime, rue de Ia	, Paris, France	Lime, rue de Ia, Paris, France						 	4	 		 	4
Limettes, quai des	, Paris, France	Limettes, quai des, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	11	 	 	 	11
Luxembourg, Allée du	, Paris, France	Luxembourg, Allée du, Paris, France						 	6	 	 	 	6
Luxembourg, butte du	, Paris, France	Luxembourg, butte du, Paris, France						 	6	 	 	 	6
Luxembourg, Grande AlIée du	, Paris, France	Luxembourg, Grande AlIée du, Paris, France						 	6	 	 	 	6
Luxembourg, heights	, Paris, France	Luxembourg, heights, Paris, France	48.852615, 2.36235		48.852615, 2.36235			 	6	 	 	 	6
Luxembourg, jardin du	, Paris, France	Luxembourg, jardin du, Paris, France						 	6	 	 	 	6
Luxembourg, palais du	, Paris, France	Luxembourg, palais du, Paris, France						 	6	 	 	 	6
Luxembourg, quarter	, Paris, France	Luxembourg, quarter, Paris, France						 	6	 	 	 	6
Luxembourg, theatre forain du	, Paris, France	Luxembourg, theatre forain du, Paris, France						 	13	 	 	 	13
Luxembourg-Observatoire, quarter	, Paris, France	Luxembourg-Observatoire, quarter, Paris, France	48.852615, 2.36235		48°50_11.32_N 2°20_11.4874_E 	http://fr.wikipedia.org/wiki/Observatoire_de_Paris		 	6	 	 	 	6
Luxor, obelisk	, Paris, France	Luxor, obelisk, Paris, France			 			 	8	 	 	 	8
Lycée, rue du	, Paris, France	Lycée, rue du, Paris, France			 			 	8, 12	 	 	 	8, 12
Mabille, bal	, Paris, France	Mabille, bal, Paris, France			 			 	2	 	 	 	2
Macassar, huile de	, Paris, France	Macassar, huile de, Paris, France			 			 	12	 	 	 	12
Macons-Sorbonne, rue des	, Paris, France	Macons-Sorbonne, rue des, Paris, France			 			 	6	 	 	 	6
Madame, rue	, Paris, France	Madame, rue, Paris, France	44.719885, -0.023449		44.719885, -0.023449			 	6	 	 	 	6
Madame, theatre de	, Paris, France	Madame, theatre de, Paris, France						 	13	 	 	 	13
Madeleine, la	, Paris, France	Madeleine, la, Paris, France						 	8, 9, 12	 	 	 	8, 9, 12
Madeleine, boulevard'de la	, Paris, France	Madeleine, boulevard'de la, Paris, France	48.869585, 2.32622		48.869585, 2.32622			 	12	 	 	 	12
Madeleine, rue de Ia	, Paris, France	Madeleine, rue de Ia, Paris, France						 	8	 	 	 	8
Madelonnettes	, Paris, France	Madelonnettes, Paris, France						 	4	 	 	 	4
Mademoiselle, allée de	, Paris, France	Mademoiselle, allée de, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	2, 10	 	 	 	2, 10
Mademoiselle, rue de (Vanneau)	, Paris, France	Mademoiselle, rue de (Vanneau), Paris, France	48.84367, 2.29813		48.84367, 2.29813			 	10	 	 	 	10
Mail, hotel du	, Paris, France	Mail, hotel du, Paris, France			 			 	12	 	 	 	12
Mail, rue du	, Paris, France	Mail, rue du, Paris, France			 			 	4, 12	 	 	 	4, 12
Maison Dorée	, Paris, France	Maison Dorée, Paris, France			 			 	12	 	 	 	12
Maison d'Or	, Paris, France	Maison d'Or, Paris, France	48.83546, 2.32337		48.83546, 2.32337			 	12	 	 	 	12
Malaquais, quai	, Paris, France	Malaquais, quai, Paris, France	48.85157, 2.375085		48.85157, 2.375085			 	10	 	 	 	10
Malebranche, rue	, Paris, France	Malebranche, rue, Paris, France	48.84653, 2.34207		48.84653, 2.34207			 	6	 	 	 	6
Mandar, rue	, Paris, France	Mandar, rue, Paris, France	48.857635, 2.33583		48.857635, 2.33583			 	4	 	 	 	4
Manteaux, rue des	, Paris, France	Manteaux, rue des, Paris, France						 	4	 	 	 	4
Marais	, Paris, France	Marais, Paris, France						 	4, 7	 	 	 	4, 7
Marais (Visconti), rue des	, Paris, France	Marais (Visconti), rue des, Paris, France	48.8717, 2.36148		48.8717, 2.36148			 	6	 	 	 	6
Marbeuf, rue	, Paris, France	Marbeuf, rue, Paris, France						 	2	 	 	 	2
Marche-Pahu, quai du	, Paris, France	Marche-Pahu, quai du, Paris, France	48.86965, 2.305445		48.86965, 2.305445			 	11	 	 	 	11
Marechal-Lefebvre, rue du, (Pere Lachaise)	, Paris, France	Marechal-Lefebvre, rue du, (Pere Lachaise), Paris, France						 	2	 	 	 	2
Marées, Bureau des	, Paris, France	Marées, Bureau des, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	1	 	 	 	1
Marengo, rue de	, Paris, France	Marengo, rue de, Paris, France						 	8	 	 	 	8
Marie, pont	, Paris, France	Marie, pont, Paris, France						 	11	 	 	 	11
Marie-Stuart, rue	, Paris, France	Marie-Stuart, rue, Paris, France	48.865045, 2.347705		48.865045, 2.347705			 	4	 	 	 	4
Marie-Therese, infirmary	, Paris, France	Marie-Therese, infirmary, Paris, France						 	1	 	 	 	1
Marigny, avenue de	, Paris, France	Marigny, avenue de, Paris, France						 	2	 	 	 	2
Marine, hotel de Ia	, Paris, France	Marine, hotel de Ia, Paris, France						 	12	 	 	 	12
Marine, Ministere de Ia	, Paris, France	Marine, Ministere de Ia, Paris, France	47.612207, -2.120567		47.612207, -2.120567			 	8	 	 	 	8
Marionnettes, rue des	, Paris, France	Marionnettes, rue des, Paris, France	47.612207, -2.120567		47.612207, -2.120567			 	3	 	 	 	3
Marrnousets, rue des	, Paris, France	Marrnousets, rue des, Paris, France						 	11	 	 	 	11
Marmouzets, quarter	, Paris, France	Marmouzets, quarter, Paris, France						 	11	 	 	 	11
Mars, Champ de	, Paris, France	Mars, Champ de, Paris, France						 	1	 	 	 	1
Marsan, PavilIon	, Paris, France	Marsan, PavilIon, Paris, France	48.856665, 2.30679		48.856665, 2.30679			 	8	 	 	 	8
Martroi, rue du	, Paris, France	Martroi, rue du, Paris, France			 			 	4	 	 	 	4
M. Martin, Menagerie de	, Paris, France	M. Martin, Menagerie de, Paris, France			 			 	13	 	 	 	13
Martyrs, rue des	, Paris, France	Martyrs, rue des, Paris, France	48.053765, -1.302733		48.053765, -1.302733			 	 2, 5	 	 	 	 2, 5
Massena, rue, (Pere Lachaise)	, Paris, France	Massena, rue, (Pere Lachaise), Paris, France						 	2	 	 	 	2
Massillon, rue	, Paris, France	Massillon, rue, Paris, France	48.822524, 2.372333		48.822524, 2.372333			 	11	 	 	 	11
Mathurins, rue des	, Paris, France	Mathurins, rue des, Paris, France	48.853395, 2.350755		48.853395, 2.350755			 	8	 	 	 	8
Mathurins (?), (Marais)-du-Temple, rue des	, Paris, France	Mathurins (?), (Marais)-du-Temple, rue des, Paris, France						 	4	 	 	 	4
Maubert, place	, Paris, France	Maubert, place, Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	3	 	 	 	3
Maubert, quarter	, Paris, France	Maubert, quarter, Paris, France						 	3	 	 	 	3
Mauvais Garcons, rue des	, Paris, France	Mauvais Garcons, rue des, Paris, France						 	4, 6	 	 	 	4, 6
Mauvaises Paroles, rue des	, Paris, France	Mauvaises Paroles, rue des, Paris, France	44.719885, -0.023449		44.719885, -0.023449			 	4	 	 	 	4
Mayence, hotel de	, Paris, France	Mayence, hotel de, Paris, France	44.719885, -0.023449		44.719885, -0.023449			 	12	 	 	 	12
Mazarin, College	, Paris, France	Mazarin, College, Paris, France						 	6	 	 	 	6
Mazarine, Bibliotheque	, Paris, France	Mazarine, Bibliotheque, Paris, France						 	6	 	 	 	6
Mazarine, rue	, Paris, France	Mazarine, rue, Paris, France						 	6	 	 	 	6
Megisserie, quai de Ia	, Paris, France	Megisserie, quai de Ia, Paris, France	48.855015, 2.33784		48.855015, 2.33784			 	4	 	 	 	4
Melun	, Paris, France	Melun, Paris, France	47.612207, -2.120567		47.612207, -2.120567			 	1	 	 	 	1
Menars, rue de	, Paris, France	Menars, rue de, Paris, France	48.883875, 2.376425		48.883875, 2.376425			 	9	 	 	 	9
Menilmontant, rue de	, Paris, France	Menilmontant, rue de, Paris, France						 	2	 	 	 	2
Mere Gerard, Ia	, Paris, France	Mere Gerard, Ia, Paris, France	48.870615, 2.40977		48.870615, 2.40977			 	12	 	 	 	12
Meudon, bois de	, Paris, France	Meudon, bois de, Paris, France						 	1	 	 	 	1
Meurice, hotel	, Paris, France	Meurice, hotel, Paris, France						 	12	 	 	 	12
Michel, Theatre	, Paris, France	Michel, Theatre, Paris, France						 	13	 	 	 	13
Michel-le-Comte, rue	, Paris, France	Michel-le-Comte, rue, Paris, France	48.82186, 2.371335		48.82186, 2.371335			 	4, 12	 	 	 	4, 12
Michodière, rue de Ia	, Paris, France	Michodière, rue de Ia, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	9	 	 	 	9
Midi, hopital du, (Capucins)	, Paris, France	Midi, hopital du, (Capucins), Paris, France	50.09643, 2.85933		50.09643, 2.85933			 	1	 	 	 	1
Mignon, hotel	, Paris, France	Mignon, hotel, Paris, France						 	6	 	 	 	6
Mignon, rue	, Paris, France	Mignon, rue, Paris, France						 	6	 	 	 	6
Militaire, Ecole	, Paris, France	Militaire, Ecole, Paris, France						 	1	 	 	 	1
Mile Colonnes, Cafe des	, Paris, France	Mile Colonnes, Cafe des, Paris, France	48.8545, 2.305825		48.8545, 2.305825			 	12	 	 	 	12
Minerve, Café	, Paris, France	Minerve, Café, Paris, France	44.719885, -0.023449		44.719885, -0.023449			 	12	 	 	 	12
Minimes, Chaussec des	, Paris, France	Minimes, Chaussec des, Paris, France						 	7	 	 	 	7
Mirabeau, hotel	, Paris, France	Mirabeau, hotel, Paris, France						 	12	 	 	 	12
Miromesnil, rue de	, Paris, France	Miromesnil, rue de, Paris, France						 	8	 	 	 	8
Missions Etrangeres, eglise des	, Paris, France	Missions Etrangeres, eglise des, Paris, France						 	10	 	 	 	10
Mixture Bresilieime	, Paris, France	Mixture Bresilieime, Paris, France	44.719885, -0.023449		44.719885, -0.023449			 	12	 	 	 	12
Mizerai	, Paris, France	Mizerai, Paris, France						 	4, 12	 	 	 	4, 12
Moineaux, rue des	, Paris, France	Moineaux, rue des, Paris, France						 	8	 	 	 	8
Molière, rue	, Paris, France	Molière, rue, Paris, France	48.844013, 2.262576		48.844013, 2.262576			 	8	 	 	 	8
Monceau, rue de	, Paris, France	Monceau, rue de, Paris, France						 	2	 	 	 	2
Monceaux	, Paris, France	Monceaux, Paris, France						 	2	 	 	 	2
Monceaux, hill	, Paris, France	Monceaux, hill, Paris, France						 	2	 	 	 	2
Monceaux, pare de	, Paris, France	Monceaux, pare de, Paris, France						 	2	 	 	 	2
Monnaie, rue de Ia	, Paris, France	Monnaie, rue de Ia, Paris, France						 	 4, 8	 	 	 	 4, 8
Monnaies, hotel des	, Paris, France	Monnaies, hotel des, Paris, France	49.96593, 3.970635		49.96593, 3.970635			 	6	 	 	 	6
Monsieur, Bibliotheque de	, Paris, France	Monsieur, Bibliotheque de, Paris, France						 	4	 	 	 	4
Monsieur, rue do	, Paris, France	Monsieur, rue do, Paris, France						 	10	 	 	 	10
Mont-Blanc, rue du	, Paris, France	Mont-Blanc, rue du, Paris, France						 	9	 	 	 	9
Mont-de-Piete	, Paris, France	Mont-de-Piete, Paris, France	50.09643, 2.85933		 			 	4, 10	 	 	 	4, 10
Mont-Thabor, rue du	, Paris, France	Mont-Thabor, rue du, Paris, France			 			 	 	 	 	 	 
Montagne-Sainte-Genevieve, rue de la	, Paris, France	Montagne-Sainte-Genevieve, rue de la, Paris, France	50.09643, 2.85933		 			 	3	 	 	 	3
Montaigu, College do	, Paris, France	Montaigu, College do, Paris, France	49.96593, 3.970635		 			 	6	 	 	 	6
Montesqujeu, passage	, Paris, France	Montesqujeu, passage, Paris, France			 			 	8	 	 	 	8
Montesquieu, rue	, Paris, France	Montesquieu, rue, Paris, France			 			 	8	 	 	 	8
Montfaucon, rue	, Paris, France	Montfaucon, rue, Paris, France	48.863035, 2.33897		 			 	6	 	 	 	6
Montgommery, Tour de	, Paris, France	Montgommery, Tour de, Paris, France	48.852825, 2.335875		 			 	11	 	 	 	11
Montmartre	, Paris, France	Montmartre, Paris, France			48° 53_ 10_ N 2° 20_ 35_ E 	http://fr.wikipedia.org/wiki/Montmartre		 	2	 	 	 	2
Montmartre, boulevard	, Paris, France	Montmartre, boulevard, Paris, France	48.886608, 2.34123		48° 52_ 18_ N 2° 20_ 29_ E 	http://fr.wikipedia.org/wiki/Boulevard_Montmartre		 	12	 	 	 	12
Montmartre, cemetery	, Paris, France	Montmartre, cemetery, Paris, France			 			 	2	 	 	 	2
Montmartre, chapel	, Paris, France	Montmartre, chapel, Paris, France	48.898115, 2.33712		 			 	2	 	 	 	2
Montmartre, faubourg	, Paris, France	Montmartre, faubourg, Paris, France			 			 	9	 	 	 	9
Montmartre, rue	, Paris, France	Montmartre, rue, Paris, France	48.87636, 2.339765		 			 	4	 	 	 	4
Montmartre, fountain of the, rue	, Paris, France	Montmartre, fountain of the, rue, Paris, France	48.897815, 2.33788		 			 	4	 	 	 	4
Montmartre, rue du Faubourg-	, Paris, France	Montmartre, rue du Faubourg-, Paris, France			48° 52_ 25_ N 2° 20_ 33_ E	http://fr.wikipedia.org/wiki/Rue_du_Faubourg-Montmartre		 	5, 9	 	 	 	5, 9
Montmartre, rue des Fosses-	, Paris, France	Montmartre, rue des Fosses-, Paris, France	48.852615, 2.36235		 			 	 4, 12	 	 	 	 4, 12
Moutmorency, rue do	, Paris, France	Moutmorency, rue do, Paris, France	48.852615, 2.36235		 			 	4	 	 	 	4
Montorgueii, rue	, Paris, France	Montorgueii, rue, Paris, France			 			 	4	 	 	 	4
Montparnasse, boulevard	, Paris, France	Montparnasse, boulevard, Paris, France	48.864275, 2.34663		 			 	12	 	 	 	12
Montparnasse, cemetery	, Paris, France	Montparnasse, cemetery, Paris, France			 			 	1	 	 	 	1
Montparnasse, quarter	, Paris, France	Montparnasse, quarter, Paris, France			 			 	1	 	 	 	1
Montparnasse, rue du	, Paris, France	Montparnasse, rue du, Paris, France			 			 	1, 6	 	 	 	1, 6
Montrouge, heights	, Paris, France	Montrouge, heights, Paris, France			 			 	1	 	 	 	1
Montrouge, plaine de	, Paris, France	Montrouge, plaine de, Paris, France	48.839928, 2.335757		 			 	1	 	 	 	1
Morfondus, quai des	, Paris, France	Morfondus, quai des, Paris, France	48.82317, 2.322945		 			 	11	 	 	 	11
Morgue	, Paris, France	Morgue, Paris, France			 			 	11	 	 	 	11
Mortellerie, rue de Ia	, Paris, France	Mortellerie, rue de Ia, Paris, France			 			 	4	 	 	 	4
Morts, rue des	, Paris, France	Morts, rue des, Paris, France	49.96593, 3.970635		 			 	4	 	 	 	4
Mouffetard, rue	, Paris, France	Mouffetard, rue, Paris, France			 			 	3	 	 	 	3
Musard, Bal	, Paris, France	Musard, Bal, Paris, France	48.843475, 2.34948		 			 	12	 	 	 	12
Musée	, Paris, France	Musée, Paris, France			 			 	3	 	 	 	3
Musée, rue du	, Paris, France	Musée, rue du, Paris, France			 			 	 	 	 	 	 
Museum (d'Ristoire Naturelle), the	, Paris, France	Museum (d'Ristoire Naturelle), the, Paris, France			 			 	3	 	 	 	3
Nantes, hotel de	, Paris, France	Nantes, hotel de, Paris, France			 			 	12	 	 	 	12
Navarin, Panorama do	, Paris, France	Navarin, Panorama do, Paris, France			 			 	13	 	 	 	13
Navariri, rue de	, Paris, France	Navariri, rue de, Paris, France			 			 	5, 9	 	 	 	5, 9
Navarre, College de	, Paris, France	Navarre, College de, Paris, France			 			 	3	 	 	 	3
Necker, hotel	, Paris, France	Necker, hotel, Paris, France			 			 	9	 	 	 	9
Nemours, Galerie de	, Paris, France	Nemours, Galerie de, Paris, France			 			 	8, 14	 	 	 	8, 14
Nesle, tour de	, Paris, France	Nesle, tour de, Paris, France			 			 	6	 	 	 	6
Neuilly, avenue de	, Paris, France	Neuilly, avenue de, Paris, France	48.855195, 2.339115		 			 	2	 	 	 	2
Neuilly, pont de	, Paris, France	Neuilly, pont de, Paris, France			 			 	1	 	 	 	1
Neuve-du-Luxembourg, rue	, Paris, France	Neuve-du-Luxembourg, rue, Paris, France			 			 	8	 	 	 	8
Neuve-des-Mathur, rue	, Paris, France	Neuve-des-Mathur, rue, Paris, France	50.09643, 2.85933		 			 	8, 9	 	 	 	8, 9
Ouest, rue de l'	, Paris, France	Ouest, rue de l', Paris, France	50.09643, 2.85933		 			 	1	 	 	 	1
Ours, rue aux	, Paris, France	Ours, rue aux, Paris, France	50.09643, 2.85933		 			 	4	30	 	 	4
Oursine, rue de l'	, Paris, France	Oursine, rue de l', Paris, France			 			 	1	 	 	 	1
Ouvrard	, Paris, France	Ouvrard, Paris, France			 			 	12	 	 	 	12
Pagevin, rue	, Paris, France	Pagevin, rue, Paris, France	50.09643, 2.85933		 			 	4	 	 	 	4
Paillassons, rue des	, Paris, France	Paillassons, rue des, Paris, France			 			 	1	 	 	 	1
Pailleux, Cour des	, Paris, France	Pailleux, Cour des, Paris, France			 			 	4	 	 	 	4
Paix, rue de la	, Paris, France	Paix, rue de la, Paris, France			 			 	 4, 8, 12	 	 	 	 4, 8, 12
Palais	, Paris, France	Palais, Paris, France	45.315758, 7.039426					 	4, 11	 	 	 	4, 11
Palais-Bourbon	, Paris, France	Palais-Bourbon, Paris, France	48.85484, 2.345405		48° 51_ 43_ N 02° 19_ 07_ E 	http://fr.wikipedia.org/wiki/Palais_Bourbon	http://commons.wikimedia.org/wiki/File:Gisors_Leconte_Projet_de_façade_nord_pour_le_Palais-Bourbon.jpg	 	10	 	 	 	10
Palais-de-Justice, place du	, Paris, France	Palais-de-Justice, place du, Paris, France	48.86032, 2.318375		48° 51_ 20.6_ N, 2° 20_ 42.19_ E	http://en.wikipedia.org/wiki/Palais_de_Justice,_Paris		 	11	 	 	 	11
Palais-de-Justice, Tour du	, Paris, France	Palais-de-Justice, Tour du, Paris, France	48.852615, 2.36235		48° 51_ 20.6_ N, 2° 20_ 42.19_ E	http://en.wikipedia.org/wiki/Palais_de_Justice,_Paris		 	11	 	 	 	11
Palais-Royal	, Paris, France	Palais-Royal, Paris, France			48°51_52_N 2°20_15_E 	http://fr.wikipedia.org/wiki/Palais-royal	http://en.wikipedia.org/wiki/File:Paris_Comedie-Francaise_exterior.jpg	 	8, 9, 12, 14	 	 	 	8, 9, 12, 14
Palais-Royal, place du	, Paris, France	Palais-Royal, place du, Paris, France	48.864449, 2.33854		48°51_52_N 2°20_15_E 	http://fr.wikipedia.org/wiki/Palais-royal	http://en.wikipedia.org/wiki/File:Paris_Comedie-Francaise_exterior.jpg	 	8	 	 	 	8
Palais-Royal, salle du	, Paris, France	Palais-Royal, salle du, Paris, France	48.866005, 2.338505		48° 51_ 58_ N 2° 20_ 15_ E	http://fr.wikipedia.org/wiki/Théâtre_du_Palais-Royal	http://en.wikipedia.org/wiki/File:Paris_Comedie-Francaise_exterior.jpg	 	13	 	 	 	13
Palatine, palais de la princesse	, Paris, France	Palatine, palais de la princesse, Paris, France	48.852615, 2.36235		48°51_52_N 2°20_15_E 			 	6	 	 	 	6
Palma	, Paris, France	Palma, Paris, France	48.852615, 2.36235		 			 	12	 	 	 	12
Palina, Werbrust et Cle	, Paris, France	Palina, Werbrust et Cle, Paris, France			 			 	12	 	 	 	12
Pandemonium	, Paris, France	Pandemonium, Paris, France	48.053765, -1.302733		 			 	12	 	 	 	12
Panorama-Dramatique	, Paris, France	Panorama-Dramatique, Paris, France			48° 51_ 48_ N 2° 21_ 59_ E	http://fr.wikipedia.org/wiki/Panorama-Dramatique	http://commons.wikimedia.org/wiki/File:Théâtre_Panorama-Dramatique.jpg	 	 4, 13	 	 	 	 4, 13
Panoramas, boulevard des	, Paris, France	Panoramas, boulevard des, Paris, France						 	12	 	 	 	12
Panoramas, passage des	, Paris, France	Panoramas, passage des, Paris, France			48° 52_ 16_ N 2° 20_ 30_ E 	http://fr.wikipedia.org/wiki/Passage_des_Panoramas	http://commons.wikimedia.org/wiki/File:Passage_des_Panoramas_Stern.JPG	 	9	 	 	 	9
Panthéon	, Paris, France	Panthéon, Paris, France	48.8468, 2.345925		48° 50_ 46_ N, 2° 20_ 45_ E	http://en.wikipedia.org/wiki/Panthéon,_Paris	http://en.wikipedia.org/wiki/File:P1010939_Paris_V_Place_du_Panthéon_reductwk.JPG	 	3	 	 	 	3
Panthéon, place du	, Paris, France	Panthéon, place du, Paris, France			48° 50_ 46_ N, 2° 20_ 45_ E	http://en.wikipedia.org/wiki/Panthéon,_Paris	http://en.wikipedia.org/wiki/File:Pantheon_Carte_postale1.JPG	 	3	 	 	 	3
Panthéon, quarter	, Paris, France	Panthéon, quarter, Paris, France			48° 50_ 46_ N, 2° 20_ 45_ E	http://en.wikipedia.org/wiki/Panthéon,_Paris	http://en.wikipedia.org/wiki/File:Pantheon_Carte_postale1.JPG	 	3	 	 	 	3
Pantin, rue de	, Paris, France	Pantin, rue de, Paris, France			 			 	2	 	 	 	2
Paon, rue du	, Paris, France	Paon, rue du, Paris, France			 			 	6	 	 	 	6
Paradis-Poissonnière, rue	, Paris, France	Paradis-Poissonnière, rue, Paris, France			 			 	9	 	 	 	9
Paris, Cafe de	, Paris, France	Paris, Cafe de, Paris, France			 			 	12	 	 	 	12
Pas de Ia Mule, rue du	, Paris, France	Pas de Ia Mule, rue du, Paris, France			 			 	7	 	 	 	7
Pas Perdus, Salle des	, Paris, France	Pas Perdus, Salle des, Paris, France			 			 	11	 	 	 	11
